Order_ID,Order_Date,Customer_ID,Gender,Age,Age_Group,City,State,Product_Category,Product_Name,Quantity,Price,Discount,Payment_Method,Order_Status
1051,2024-01-13,C008,Female,56.0,46-59,Hyderabad,Telangana,Electronics,Power Bank,1,1374,0.15,UPI,Cancelled
1052,2024-02-29,C024,Other,,60+,Mumbai,Maharashtra,Electronics,Bluetooth Speaker,1,1117,0.2,UPI,Cancelled
1053,2024-01-30,C097,Female,56.0,46-59,Kolkata,West Bengal,Electronics,Smart Watch,2,5362,0.3,UPI,Cancelled
1054,2024-01-06,C094,Female,38.0,36-45,Chennai,Tamil Nadu,Health,Protein Powder,3,880,0.3,Credit Card,Returned
1055,2024-02-28,C119,Male,23.0,18-25,Hyderabad,Telangana,Home,Curtains,3,986,0.2,COD,Delivered
1056,2024-01-06,C047,Female,,60+,Mumbai,Maharashtra,Health,Protein Powder,2,2752,0.1,Debit Card,Delivered
1057,2024-03-01,C008,Male,53.0,46-59,Bangalore,Karnataka,Health,Protein Powder,3,1477,0.0,UPI,Cancelled
1058,2024-02-23,C091,Other,,60+,Pune,Maharashtra,Beauty,Lipstick,3,3103,0.2,Net Banking,Delivered
1059,2024-02-10,C069,Female,,60+,Pune,Maharashtra,Beauty,Lipstick,2,1937,0.05,Credit Card,Cancelled
1060,2024-02-28,C094,Other,,60+,Bangalore,Karnataka,Electronics,Power Bank,3,3807,0.2,Net Banking,Cancelled
1061,2024-02-24,C117,Other,23.0,18-25,Hyderabad,Telangana,Electronics,Smart Watch,1,4179,0.0,Credit Card,Returned
1062,2024-02-17,C081,Female,60.0,60+,Delhi,Delhi,Fashion,Dress,2,2460,0.1,Net Banking,Delivered
1063,2024-02-23,C050,Female,62.0,60+,Delhi,Delhi,Fashion,T-Shirt,3,1072,,COD,Returned
1064,2024-02-06,C071,Male,,60+,Bangalore,Karnataka,Health,Protein Powder,1,3107,0.0,Debit Card,Delivered
1065,2024-01-20,C048,Other,,60+,Chennai,Tamil Nadu,Home,Curtains,3,5761,0.1,COD,Cancelled
1066,2024-02-18,C106,Female,22.0,18-25,Kolkata,West Bengal,Fashion,Jeans,2,4828,,COD,Cancelled
1067,2024-01-16,C005,Female,,60+,Bangalore,Karnataka,Electronics,Bluetooth Speaker,1,1389,,Credit Card,Returned
1068,2024-01-10,C112,Male,,60+,Bangalore,Karnataka,Health,Protein Powder,3,1996,,Credit Card,Delivered
1069,2024-02-02,C063,Female,61.0,60+,Delhi,Delhi,Electronics,Bluetooth Speaker,2,4346,0.2,Net Banking,Cancelled
1070,2024-01-12,C080,Male,,60+,Mumbai,Maharashtra,Electronics,Wireless Mouse,1,4551,,COD,Cancelled
1071,2024-02-21,C015,Male,20.0,18-25,Delhi,Delhi,Health,Protein Powder,1,3789,0.05,Credit Card,Delivered
1072,2024-02-03,C096,Female,,60+,Hyderabad,Telangana,Home,Curtains,1,4298,0.3,Net Banking,Returned
1073,2024-02-09,C021,Female,65.0,60+,Bangalore,Karnataka,Beauty,Skincare Kit,2,2091,0.05,COD,Cancelled
1074,2024-01-05,C047,Female,,60+,Pune,Maharashtra,Electronics,Smart Watch,1,2539,0.3,Net Banking,Delivered
1075,2024-01-06,C041,Male,,60+,Bangalore,Karnataka,Fashion,T-Shirt,1,3267,0.3,Net Banking,Cancelled
1076,2024-03-01,C019,Other,,60+,Kolkata,West Bengal,Fashion,Jeans,3,4696,0.1,Credit Card,Delivered
1077,2024-02-03,C055,Male,,60+,Bangalore,Karnataka,Beauty,Skincare Kit,1,1167,,Credit Card,Returned
1078,2024-01-08,C054,Other,64.0,60+,Kolkata,West Bengal,Home,Curtains,3,609,0.15,Credit Card,Delivered
1079,2024-02-14,C071,Female,49.0,46-59,Kolkata,West Bengal,Fashion,Dress,2,840,0.2,Credit Card,Returned
1080,2024-01-18,C036,Other,58.0,46-59,Delhi,Delhi,Electronics,Smart Watch,2,1945,0.0,Credit Card,Delivered
1081,2024-02-21,C085,Male,,60+,Chennai,Tamil Nadu,Health,Protein Powder,3,813,0.1,Net Banking,Cancelled
1082,2024-01-19,C026,Female,56.0,46-59,Mumbai,Maharashtra,Home,Kitchen Set,2,4416,0.1,Credit Card,Cancelled
1083,2024-02-02,C011,Female,,60+,Delhi,Delhi,Beauty,Skincare Kit,1,5308,0.15,Credit Card,Delivered
1084,2024-01-03,C003,Male,,60+,Hyderabad,Telangana,Home,Curtains,2,5982,,Debit Card,Cancelled
1085,2024-01-10,C075,Female,,60+,Hyderabad,Telangana,Beauty,Lipstick,1,4817,0.1,UPI,Cancelled
1086,2024-01-29,C022,Female,,60+,Kolkata,West Bengal,Health,Protein Powder,1,4176,0.1,Net Banking,Delivered
1087,2024-01-14,C083,Other,25.0,18-25,Hyderabad,Telangana,Electronics,Smart Watch,2,4211,0.15,UPI,Delivered
1088,2024-01-11,C042,Male,,60+,Mumbai,Maharashtra,Fashion,Dress,2,3400,0.0,Debit Card,Returned
1089,2024-01-02,C005,Other,24.0,18-25,Pune,Maharashtra,Home,Curtains,3,3261,,Credit Card,Returned
1090,2024-01-14,C083,Female,,60+,Hyderabad,Telangana,Fashion,T-Shirt,3,5177,0.2,COD,Delivered
1091,2024-01-09,C042,Male,,60+,Delhi,Delhi,Fashion,Dress,1,4052,0.15,COD,Returned
1092,2024-01-13,C112,Other,,60+,Hyderabad,Telangana,Home,Kitchen Set,2,5587,,UPI,Delivered
1093,2024-01-04,C093,Female,46.0,46-59,Chennai,Tamil Nadu,Health,Protein Powder,3,5763,0.0,UPI,Cancelled
1094,2024-02-06,C058,Male,,60+,Pune,Maharashtra,Home,Kitchen Set,1,5937,0.3,Credit Card,Cancelled
1095,2024-02-18,C055,Female,,60+,Hyderabad,Telangana,Electronics,Power Bank,1,3161,0.15,UPI,Cancelled
1096,2024-01-29,C093,Male,18.0,18-25,Delhi,Delhi,Beauty,Skincare Kit,3,2732,0.3,Net Banking,Delivered
1097,2024-02-02,C008,Male,,60+,Mumbai,Maharashtra,Home,Kitchen Set,3,3354,0.0,UPI,Returned
1098,2024-01-26,C038,Male,,60+,Hyderabad,Telangana,Home,Kitchen Set,2,4110,,Debit Card,Delivered
1099,2024-01-14,C025,Other,,60+,Pune,Maharashtra,Fashion,Dress,3,3554,,UPI,Cancelled
1100,2024-01-31,C045,Other,19.0,18-25,Pune,Maharashtra,Home,Curtains,3,1791,0.2,Debit Card,Delivered
1101,2024-01-28,C116,Other,21.0,18-25,Chennai,Tamil Nadu,Fashion,Dress,3,3872,,UPI,Delivered
1102,2024-01-27,C063,Other,,60+,Kolkata,West Bengal,Electronics,Power Bank,3,858,0.2,COD,Returned
1103,2024-01-06,C053,Other,64.0,60+,Pune,Maharashtra,Health,Protein Powder,2,4797,0.15,UPI,Delivered
1104,2024-02-09,C028,Other,20.0,18-25,Mumbai,Maharashtra,Beauty,Lipstick,1,1995,0.15,Credit Card,Delivered
1105,2024-02-29,C104,Other,,60+,Pune,Maharashtra,Electronics,Smart Watch,2,2185,0.1,Credit Card,Delivered
1106,2024-01-16,C038,Female,,60+,Kolkata,West Bengal,Electronics,Bluetooth Speaker,1,5235,0.1,Credit Card,Delivered
1107,2024-02-28,C064,Other,,60+,Mumbai,Maharashtra,Beauty,Skincare Kit,1,1898,0.0,Debit Card,Returned
1108,2024-02-16,C005,Female,32.0,26-35,Delhi,Delhi,Beauty,Skincare Kit,2,762,0.3,COD,Delivered
1109,2024-02-21,C067,Female,,60+,Pune,Maharashtra,Electronics,Headphones,1,723,0.05,Net Banking,Delivered
1110,2024-01-06,C044,Other,,60+,Chennai,Tamil Nadu,Fashion,T-Shirt,2,3701,0.0,UPI,Delivered
1111,2024-02-24,C096,Male,38.0,36-45,Kolkata,West Bengal,Home,Bedsheet,1,2041,0.1,UPI,Delivered
1112,2024-01-22,C114,Male,19.0,18-25,Mumbai,Maharashtra,Home,Kitchen Set,1,3103,0.05,UPI,Returned
1113,2024-02-11,C047,Other,23.0,18-25,Kolkata,West Bengal,Home,Curtains,2,3671,,Net Banking,Delivered
1114,2024-02-25,C049,Other,,60+,Pune,Maharashtra,Health,Protein Powder,3,636,0.2,Credit Card,Cancelled
1115,2024-01-22,C023,Male,,60+,Pune,Maharashtra,Electronics,Bluetooth Speaker,3,3021,,Credit Card,Cancelled
1116,2024-02-20,C005,Other,,60+,Kolkata,West Bengal,Beauty,Lipstick,2,2434,0.15,Debit Card,Cancelled
1117,2024-01-18,C053,Female,37.0,36-45,Kolkata,West Bengal,Health,Protein Powder,3,786,0.05,COD,Returned
1118,2024-01-25,C025,Other,,60+,Hyderabad,Telangana,Home,Bedsheet,1,2921,0.0,UPI,Cancelled
1119,2024-01-03,C055,Female,,60+,Chennai,Tamil Nadu,Beauty,Lipstick,1,4351,,Debit Card,Returned
1120,2024-02-06,C062,Male,,60+,Pune,Maharashtra,Fashion,Jeans,3,2796,0.15,UPI,Returned
1121,2024-01-28,C044,Male,35.0,26-35,Chennai,Tamil Nadu,Fashion,Dress,2,3795,0.3,Credit Card,Delivered
1122,2024-02-01,C112,Other,58.0,46-59,Chennai,Tamil Nadu,Home,Curtains,2,3848,0.1,Credit Card,Delivered
1123,2024-02-19,C009,Male,39.0,36-45,Pune,Maharashtra,Health,Protein Powder,1,5580,0.0,Credit Card,Returned
1124,2024-01-01,C077,Other,,60+,Hyderabad,Telangana,Electronics,Smart Watch,3,575,,Debit Card,Delivered
1125,2024-01-10,C055,Male,21.0,18-25,Delhi,Delhi,Electronics,Power Bank,3,2117,0.05,COD,Returned
1126,2024-02-04,C063,Female,,60+,Kolkata,West Bengal,Beauty,Skincare Kit,3,3914,0.3,COD,Cancelled
1127,2024-02-25,C108,Other,29.0,26-35,Kolkata,West Bengal,Health,Protein Powder,3,1743,0.1,Credit Card,Cancelled
1128,2024-01-25,C045,Female,59.0,46-59,Bangalore,Karnataka,Home,Curtains,3,4492,0.15,UPI,Cancelled
1129,2024-02-16,C066,Male,21.0,18-25,Pune,Maharashtra,Home,Kitchen Set,2,5895,0.1,Debit Card,Cancelled
1130,2024-03-01,C090,Female,64.0,60+,Hyderabad,Telangana,Electronics,Power Bank,1,1512,0.2,Debit Card,Returned
1131,2024-02-03,C013,Other,,60+,Pune,Maharashtra,Electronics,Power Bank,2,1538,0.05,Debit Card,Delivered
1132,2024-01-26,C033,Male,,60+,Pune,Maharashtra,Fashion,Dress,3,2467,,Net Banking,Cancelled
1133,2024-02-01,C109,Other,50.0,46-59,Kolkata,West Bengal,Fashion,Dress,3,1740,0.05,Net Banking,Returned
1134,2024-01-07,C067,Other,30.0,26-35,Kolkata,West Bengal,Beauty,Lipstick,1,1356,0.2,Net Banking,Delivered
1135,2024-02-13,C057,Other,,60+,Mumbai,Maharashtra,Beauty,Lipstick,2,4122,0.05,Credit Card,Delivered
1136,2024-01-21,C043,Other,40.0,36-45,Mumbai,Maharashtra,Home,Bedsheet,2,579,0.1,Debit Card,Delivered
1137,2024-01-21,C069,Male,,60+,Chennai,Tamil Nadu,Fashion,Jeans,3,2786,0.1,Net Banking,Cancelled
1138,2024-01-05,C120,Female,63.0,60+,Chennai,Tamil Nadu,Fashion,Dress,3,4769,0.2,COD,Delivered
1139,2024-01-02,C076,Other,55.0,46-59,Chennai,Tamil Nadu,Home,Bedsheet,2,1840,0.0,Net Banking,Returned
1140,2024-01-02,C074,Female,,60+,Kolkata,West Bengal,Fashion,Dress,3,4880,,COD,Cancelled
1141,2024-01-21,C040,Other,,60+,Pune,Maharashtra,Home,Kitchen Set,2,4370,0.05,Net Banking,Returned
1142,2024-02-20,C079,Other,33.0,26-35,Kolkata,West Bengal,Electronics,Wireless Mouse,3,1027,0.2,Net Banking,Delivered
1143,2024-02-28,C055,Female,,60+,Bangalore,Karnataka,Home,Bedsheet,2,3324,0.3,COD,Returned
1144,2024-01-18,C054,Other,33.0,26-35,Bangalore,Karnataka,Fashion,Dress,1,4630,,Net Banking,Cancelled
1145,2024-02-09,C102,Male,,60+,Hyderabad,Telangana,Fashion,Dress,1,3691,0.1,Net Banking,Delivered
1146,2024-02-13,C112,Male,39.0,36-45,Hyderabad,Telangana,Home,Bedsheet,3,1636,0.15,Debit Card,Delivered
1147,2024-01-21,C024,Male,,60+,Kolkata,West Bengal,Health,Protein Powder,1,1946,0.1,UPI,Delivered
1148,2024-01-21,C034,Other,,60+,Chennai,Tamil Nadu,Beauty,Skincare Kit,1,2345,0.15,COD,Delivered
1149,2024-01-11,C036,Other,65.0,60+,Delhi,Delhi,Beauty,Lipstick,3,592,,Net Banking,Returned
1150,2024-02-13,C007,Other,57.0,46-59,Pune,Maharashtra,Electronics,Power Bank,3,3316,,COD,Cancelled
1151,2024-02-22,C097,Female,28.0,26-35,Kolkata,West Bengal,Fashion,Dress,1,1939,0.15,COD,Returned
1152,2024-02-25,C108,Male,61.0,60+,Chennai,Tamil Nadu,Electronics,Smart Watch,2,2408,,Credit Card,Returned
1153,2024-02-24,C061,Other,,60+,Bangalore,Karnataka,Health,Protein Powder,3,2324,,Debit Card,Delivered
1154,2024-02-17,C042,Male,,60+,Mumbai,Maharashtra,Health,Protein Powder,2,3603,0.15,UPI,Delivered
1155,2024-02-07,C001,Other,,60+,Chennai,Tamil Nadu,Home,Kitchen Set,3,4031,0.2,Net Banking,Returned
1156,2024-01-27,C063,Female,36.0,36-45,Chennai,Tamil Nadu,Electronics,Smart Watch,1,1656,,UPI,Returned
1157,2024-02-16,C101,Other,52.0,46-59,Kolkata,West Bengal,Fashion,Dress,1,3456,0.15,Debit Card,Returned
1158,2024-01-21,C041,Female,54.0,46-59,Mumbai,Maharashtra,Electronics,Bluetooth Speaker,1,764,,COD,Delivered
1159,2024-01-17,C030,Male,,60+,Bangalore,Karnataka,Health,Protein Powder,2,4505,0.2,Debit Card,Returned
1160,2024-01-22,C102,Female,,60+,Bangalore,Karnataka,Electronics,Headphones,3,1542,0.2,Debit Card,Returned
1161,2024-01-30,C079,Female,,60+,Delhi,Delhi,Fashion,Dress,1,1441,,Credit Card,Cancelled
1162,2024-01-17,C117,Female,,60+,Delhi,Delhi,Home,Kitchen Set,1,3423,0.3,UPI,Delivered
1163,2024-02-23,C023,Other,53.0,46-59,Mumbai,Maharashtra,Electronics,Bluetooth Speaker,1,760,0.05,Debit Card,Returned
1164,2024-02-08,C040,Other,,60+,Chennai,Tamil Nadu,Fashion,Dress,1,2912,0.05,Net Banking,Cancelled
1165,2024-01-31,C061,Male,45.0,36-45,Bangalore,Karnataka,Electronics,Power Bank,1,4681,0.0,COD,Delivered
1166,2024-01-07,C104,Female,,60+,Bangalore,Karnataka,Electronics,Wireless Mouse,3,871,0.1,Credit Card,Returned
1167,2024-01-27,C037,Other,,60+,Bangalore,Karnataka,Beauty,Lipstick,3,5406,0.15,Debit Card,Cancelled
1168,2024-02-27,C024,Female,37.0,36-45,Kolkata,West Bengal,Beauty,Skincare Kit,1,2386,0.2,Net Banking,Cancelled
1169,2024-01-05,C062,Female,28.0,26-35,Mumbai,Maharashtra,Beauty,Skincare Kit,3,1359,0.3,Debit Card,Returned
1170,2024-01-01,C021,Female,21.0,18-25,Hyderabad,Telangana,Beauty,Skincare Kit,1,913,0.3,Net Banking,Delivered
1171,2024-01-23,C115,Female,,60+,Mumbai,Maharashtra,Home,Bedsheet,1,3042,0.0,Debit Card,Delivered
1172,2024-02-16,C062,Male,59.0,46-59,Delhi,Delhi,Beauty,Lipstick,1,2689,0.0,Debit Card,Cancelled
1173,2024-01-18,C014,Male,36.0,36-45,Hyderabad,Telangana,Electronics,Bluetooth Speaker,1,730,0.05,Credit Card,Cancelled
1174,2024-02-22,C068,Male,57.0,46-59,Hyderabad,Telangana,Health,Protein Powder,2,4203,,COD,Delivered
1175,2024-02-07,C035,Female,,60+,Mumbai,Maharashtra,Beauty,Skincare Kit,2,1209,0.1,UPI,Cancelled
1176,2024-02-12,C037,Female,,60+,Delhi,Delhi,Health,Protein Powder,2,2435,0.2,Credit Card,Delivered
1177,2024-02-02,C107,Other,48.0,46-59,Bangalore,Karnataka,Home,Bedsheet,1,4551,0.0,Net Banking,Delivered
1178,2024-01-01,C009,Female,32.0,26-35,Chennai,Tamil Nadu,Home,Curtains,2,5159,0.3,Debit Card,Returned
1179,2024-02-29,C105,Other,26.0,26-35,Hyderabad,Telangana,Beauty,Lipstick,2,1444,0.3,Debit Card,Delivered
1180,2024-02-25,C020,Female,60.0,60+,Kolkata,West Bengal,Beauty,Lipstick,3,5208,0.3,Debit Card,Cancelled
1181,2024-01-30,C052,Male,41.0,36-45,Mumbai,Maharashtra,Health,Protein Powder,2,518,,Debit Card,Returned
1182,2024-01-25,C100,Other,46.0,46-59,Delhi,Delhi,Beauty,Lipstick,1,891,0.3,Debit Card,Returned
1183,2024-02-06,C038,Male,61.0,60+,Kolkata,West Bengal,Electronics,Power Bank,3,2604,,Net Banking,Delivered
1184,2024-02-01,C020,Other,26.0,26-35,Mumbai,Maharashtra,Beauty,Skincare Kit,2,2155,,Credit Card,Returned
1185,2024-01-24,C081,Female,61.0,60+,Hyderabad,Telangana,Health,Protein Powder,3,2758,0.15,Debit Card,Cancelled
1186,2024-01-12,C005,Female,30.0,26-35,Delhi,Delhi,Health,Protein Powder,2,3376,0.3,UPI,Delivered
1187,2024-01-30,C061,Male,57.0,46-59,Kolkata,West Bengal,Beauty,Skincare Kit,1,2802,0.15,Credit Card,Cancelled
1188,2024-01-05,C104,Other,,60+,Delhi,Delhi,Home,Bedsheet,1,5332,0.15,UPI,Returned
1189,2024-01-23,C026,Other,,60+,Delhi,Delhi,Fashion,T-Shirt,3,4160,0.3,Credit Card,Returned
1190,2024-03-01,C005,Female,37.0,36-45,Kolkata,West Bengal,Electronics,Headphones,3,4812,0.15,Credit Card,Delivered
1191,2024-01-05,C002,Other,31.0,26-35,Chennai,Tamil Nadu,Beauty,Lipstick,1,5975,0.3,COD,Delivered
1192,2024-01-27,C107,Other,,60+,Bangalore,Karnataka,Beauty,Skincare Kit,1,2097,0.2,COD,Cancelled
1193,2024-02-21,C020,Other,59.0,46-59,Mumbai,Maharashtra,Health,Protein Powder,1,1783,0.2,Net Banking,Returned
1194,2024-01-17,C054,Female,,60+,Mumbai,Maharashtra,Home,Bedsheet,3,5852,0.1,Credit Card,Delivered
1195,2024-02-04,C070,Other,26.0,26-35,Chennai,Tamil Nadu,Health,Protein Powder,1,3543,0.0,COD,Cancelled
1196,2024-01-22,C120,Female,59.0,46-59,Hyderabad,Telangana,Beauty,Skincare Kit,2,5250,0.1,COD,Returned
1197,2024-02-19,C005,Other,38.0,36-45,Mumbai,Maharashtra,Electronics,Power Bank,1,870,0.05,Net Banking,Delivered
1198,2024-01-28,C102,Female,,60+,Pune,Maharashtra,Electronics,Wireless Mouse,3,4771,0.2,UPI,Returned
1199,2024-02-18,C040,Male,63.0,60+,Mumbai,Maharashtra,Beauty,Skincare Kit,3,3938,0.1,Net Banking,Returned
1200,2024-02-03,C031,Other,,60+,Hyderabad,Telangana,Home,Curtains,1,4289,0.15,Credit Card,Returned
